,Ticker,Drawdown,Bounce,Pct from local high
0,SKL-PERP,-0.238309353,0.289524546,-0.204586331
0,REN-PERP,-0.125577304,0.285431587,-0.092002053
0,RUNE-PERP,-0.115656752,0.278225461,-0.040575433
0,HUM-PERP,-0.115670103,0.263349831,-0.099793814
0,EOS-PERP,-0.094800089,0.251741375,-0.053027823
0,HNT-PERP,-0.109748518,0.240050091,-0.0015148
0,LINA-PERP,-0.118689904,0.221843391,-0.057948098
0,MATIC-PERP,-0.179206936,0.216015465,-0.081815407
0,KAVA-PERP,-0.108140148,0.210308669,-0.005003051
0,PROM-PERP,-0.170499603,0.209785737,-0.142215173
0,KIN-PERP,-0.168338109,0.203560149,-0.096374046
0,QTUM-PERP,-0.090760425,0.198804185,-0.030479357
0,ORBS-PERP,-0.07129751,0.190699126,-0.067103539
0,REEF-PERP,-0.106278714,0.188656614,-0.005766181
0,ENJ-PERP,-0.190932187,0.184582073,-0.14486027
0,SRN-PERP,-0.113088177,0.179570896,-0.097667062
0,THETA-PERP,-0.104976505,0.175824734,-0.026901509
0,LINK-PERP,-0.124662074,0.171955168,-0.081211658
0,BAND-PERP,-0.119594522,0.171607055,-0.06555149
0,AUDIO-PERP,-0.09738104,0.170552677,-0.076355588
0,AMPL-PERP,-0.055009555,0.170013,-0.009135802
0,BAT-PERP,-0.113125453,0.16900434,-0.053723233
0,SXP-PERP,-0.128623928,0.167994377,-0.081444333
0,FTM-PERP,-0.152655738,0.166537688,-0.07304918
0,NEO-PERP,-0.102239071,0.166270784,-0.040242891
0,RAMP-PERP,-0.213800905,0.164388489,-0.152432127
0,XTZ-PERP,-0.093331646,0.164373238,-0.060672164
0,DODO-PERP,-0.127702703,0.162277304,-0.043318894
0,STX-PERP,-0.099418846,0.161243673,-0.072436696
0,LRC-PERP,-0.115141243,0.159591195,-0.076949153
0,ZRX-PERP,-0.110119695,0.15920763,-0.048312236
0,FLM-PERP,-0.106557377,0.155963303,-0.034920635
0,CAKE-PERP,-0.121356719,0.154263907,-0.057604273
0,LTC-PERP,-0.10764523,0.153761062,-0.056184084
0,CRV-PERP,-0.142074659,0.153045478,-0.074061575
0,STEP-PERP,-0.050588235,0.149166291,-0.029803922
0,BCH-PERP,-0.092835454,0.149124056,-0.043939018
0,CONV-PERP,-0.149467839,0.149075082,-0.091624248
0,1INCH-PERP,-0.130217175,0.147524986,-0.026927355
0,DMG-PERP,-0.1375,0.144927536,-0.075
0,ALCX-PERP,-0.12049948,0.143752958,-0.032585083
0,UNI-PERP,-0.110842964,0.142551321,-0.028841006
0,DOT-PERP,-0.117209302,0.142438265,-0.018326917
0,ONT-PERP,-0.119526354,0.142389311,-0.053090242
0,STMX-PERP,-0.169247788,0.141414141,-0.106826802
0,CHZ-PERP,-0.142509795,0.139313603,-0.102528868
0,SOL-PERP,-0.128016789,0.137103891,-0.020006995
0,LUNA-PERP,-0.135691232,0.136144391,-0.095615923
0,BNB-PERP,-0.104452021,0.135310989,-0.035995581
0,TOMO-PERP,-0.099629041,0.134438943,-0.064090826
0,OMG-PERP,-0.108348469,0.133295479,-0.073338761
0,AXS-PERP,-0.119680851,0.130141762,-0.024140753
0,RAY-PERP,-0.097752788,0.128612836,-0.043715145
0,ZEC-PERP,-0.11819547,0.125594267,-0.060442998
0,ALPHA-PERP,-0.109395904,0.124277791,-0.058379156
0,ZIL-PERP,-0.118336176,0.124127491,-0.084896567
0,DEFI-PERP,-0.108011703,0.123966105,-0.031642377
0,IOTA-PERP,-0.121195438,0.123679971,-0.066063704
0,STORJ-PERP,-0.123432602,0.122485472,-0.072884013
0,BSV-PERP,-0.070710383,0.122074562,-0.029661461
0,DENT-PERP,-0.143551797,0.121945199,-0.091331924
0,VET-PERP,-0.123067864,0.120614403,-0.076586192
0,DRGN-PERP,-0.100332011,0.120544554,-0.034841456
0,ATOM-PERP,-0.111408607,0.118762402,-0.047280089
0,DASH-PERP,-0.108528933,0.117961418,-0.033813618
0,KSM-PERP,-0.120709749,0.117532059,-0.051774372
0,SC-PERP,-0.115505564,0.117462054,-0.065432995
0,SHIT-PERP,-0.110605102,0.116702505,-0.039500839
0,SUSHI-PERP,-0.137932316,0.115469161,-0.086373973
0,NEAR-PERP,-0.117696748,0.112653582,-0.083063494
0,ALT-PERP,-0.095984755,0.112093195,-0.033199206
0,HOT-PERP,-0.138071442,0.111659867,-0.104293911
0,BADGER-PERP,-0.112487446,0.111655979,-0.0840308
0,RSR-PERP,-0.119550093,0.109047807,-0.062036178
0,COMP-PERP,-0.130209342,0.107997131,-0.076486155
0,SAND-PERP,-0.146829522,0.107523606,-0.101871102
0,XRP-PERP,-0.103809957,0.1074177,-0.055389257
0,XEM-PERP,-0.102823043,0.106932719,-0.041083314
0,MKR-PERP,-0.098603949,0.106599693,-0.044145391
0,FIDA-PERP,-0.11114149,0.106223726,-0.029072682
0,BAL-PERP,-0.092190729,0.104805269,-0.054459817
0,HOLY-PERP,-0.102479079,0.103837565,-0.027293887
0,EGLD-PERP,-0.102619996,0.103610968,-0.019492769
0,ROOK-PERP,-0.108486017,0.103028664,-0.06171649
0,ALGO-PERP,-0.086753095,0.102679048,-0.040073565
0,EXCH-PERP,-0.086725202,0.102602694,-0.024369867
0,SRM-PERP,-0.111862548,0.10166701,-0.045147139
0,SNX-PERP,-0.113203657,0.100643311,-0.065915183
0,CRO-PERP,-0.063978002,0.10046399,-0.047112741
0,ETC-PERP,-0.108543136,0.099676895,-0.053358518
0,PRIV-PERP,-0.081210798,0.099361543,-0.02773029
0,ICP-PERP,-0.110316369,0.099257885,-0.082530949
0,FTT-PERP,-0.073873923,0.09922688,-0.026167649
0,GRT-PERP,-0.110459259,0.099199788,-0.07602963
0,HT-PERP,-0.102865043,0.098626184,-0.030856571
0,SECO-PERP,-0.10229939,0.098151963,-0.024084247
0,AAVE-PERP,-0.118591055,0.098132882,-0.081827587
0,BNT-PERP,-0.089123143,0.09784324,-0.037949209
0,OKB-PERP,-0.084849504,0.097750992,-0.018947509
0,AVAX-PERP,-0.113483199,0.094838127,-0.080258259
0,KNC-PERP,-0.123917064,0.090833333,-0.084152633
0,YFI-PERP,-0.106065133,0.088792335,-0.058858679
0,XLM-PERP,-0.079793791,0.088600658,-0.042568664
0,ADA-PERP,-0.098370733,0.088216062,-0.060822988
0,YFII-PERP,-0.123743865,0.087745033,-0.093830334
0,PUNDIX-PERP,-0.102338377,0.087649402,-0.065749656
0,ETH-PERP,-0.085468014,0.087323517,-0.037939629
0,UNISWAP-PERP,-0.085209713,0.086872587,-0.045474614
0,WAVES-PERP,-0.112344723,0.086293268,-0.054737929
0,BTC-PERP,-0.056103685,0.086255542,-0.036660482
0,MID-PERP,-0.083705811,0.085822356,-0.032937352
0,XMR-PERP,-0.095259309,0.084362562,-0.054720273
0,HBAR-PERP,-0.09822077,0.083350111,-0.061909949
0,MTA-PERP,-0.097771714,0.079556898,-0.072760346
0,SHIB-PERP,-0.108900524,0.078730905,-0.068062827
0,TRX-PERP,-0.080006013,0.076701853,-0.034275406
0,PERP-PERP,-0.131558567,0.074102536,-0.107163601
0,BTT-PERP,-0.089250499,0.073943008,-0.053662989
0,MAPS-PERP,-0.075039209,0.072518586,-0.017734347
0,AR-PERP,-0.135687521,0.071505342,-0.105143636
0,FIL-PERP,-0.077647216,0.068693449,-0.038990519
0,MTL-PERP,-0.086620117,0.067975207,-0.039252689
0,BAO-PERP,-0.101336783,0.067041725,-0.075032342
0,MER-PERP,-0.075757576,0.065783943,-0.043414918
0,DAWN-PERP,-0.090922067,0.062647197,-0.051241793
0,DOGE-PERP,-0.076177498,0.060464151,-0.045747084
0,TRU-PERP,-0.106045865,0.047899668,-0.082487839
0,FLOW-PERP,-0.045231072,0.032269138,-0.036053753
0,OXY-PERP,-0.027113238,0.025058548,-0.010936432
0,CREAM-PERP,-0.062378923,0.024837134,-0.054242542
0,MEDIA-PERP,-0.020166074,0.020581114,-0.020166074
0,ASD-PERP,-0.019770799,0.018429273,-0.016271542
0,BRZ-PERP,-0.006162111,0.017896373,0
0,LEO-PERP,-0.074382786,0.011990408,-0.063284258
0,PAXG-PERP,-0.009853501,0.00872995,-0.00677754
0,TRYB-PERP,-0.013247283,0.008564577,-0.010444973
0,XAUT-PERP,-0.007252089,0.005707944,-0.003888801
0,CUSDT-PERP,-0.003078016,0.002968769,-0.000473541
0,USDT-PERP,-0.000898921,0.00069979,-0.000499401
